AddressID,AddressLine1,AddressLine2,City,StateProvinceID,PostalCode,rowguid,ModifiedDate
526,251420a 170th Street,,Edmonton,1,T5,roBtR6BpDUid84/QwQlaIQ==,2002-07-01 00:00:00.000000 UTC
502,No. 25400 10665 Jasper Avenue,,Edmonton,1,T5,ogwYURRmpUa4nO97BCHIRw==,2002-08-01 00:00:00.000000 UTC
33,10203 Acorn Avenue,,Calgary,1,T2P 2G8,04Z5IwIPWU2bLmsaa1phhQ==,2001-06-24 00:00:00.000000 UTC
451,2512-4th Ave Sw,,Calgary,1,T2P 2G8,Hk9kSZBv2UaNu52xXw737A==,2002-12-01 00:00:00.000000 UTC
467,25900-700-9th Ave S.W.,,Calgary,1,T2P 2G8,iAFWE0rODUeZE0mQMEfUWQ==,2001-11-01 00:00:00.000000 UTC
546,"250333 Southport Road, S.W.",,Calgary,1,T2P 2G8,P57SEbLZJE6sAe66ctpN3w==,2003-08-01 00:00:00.000000 UTC
13528,5831 Mountain View Place,,Calgary,1,T2P 2G8,QsTKij3I5UO83x7QwXuzuA==,2003-10-18 00:00:00.000000 UTC
21858,5860 Rock Creek Pl.,,Calgary,1,T2P 2G8,E34zih4d/E6xgpB5cgYnjg==,2004-06-07 00:00:00.000000 UTC
558,"67255 - 8th Street N.E., Suite 350",,Calgary,1,T2P 2G8,u2pZ2q+z7Eiggp6UzYcKXw==,2002-12-01 00:00:00.000000 UTC
20011,1273 Deetmeadow Way,,Calgary,1,T2P 2G8,ewNnqCTxykqNp7vBNYrM1Q==,2004-01-24 00:00:00.000000 UTC
519,2500-622 5th Ave Sw,,Calgary,1,T2P 2G8,ZUl1EwlqQ0OWjIaZwn/fqg==,2002-08-01 00:00:00.000000 UTC
20116,6155 Vist Oak Dr,,Calgary,1,T2P 2G8,hGA1ZQKAlkeEnZt85O6FoA==,2002-07-08 00:00:00.000000 UTC
19745,4605 Springvale Court,,Calgary,1,T2P 2G8,i+5wGfNtQUutrd8koHfLHQ==,2003-12-17 00:00:00.000000 UTC
12827,6350 Plumas Court,,Calgary,1,T2P 2G8,Z4hs/FSxgkKe+pBnwhHRLQ==,2004-04-10 00:00:00.000000 UTC
22266,3962 Clyde Street,,Calgary,1,T2P 2G8,t3bDU9Dwq0O8ldl7Zvgkjg==,2003-11-14 00:00:00.000000 UTC
505,"6400, 888 - 3rd Avenue",,Calgary,1,T2P 2G8,tvLvphE770erfnAeUEHHHA==,2001-08-01 00:00:00.000000 UTC
553,"253131 Lake Frasier Drive, Office No. 2",,Calgary,1,T2P 2G8,01t77wQ6CUqg0gK5jjMz3A==,2001-08-01 00:00:00.000000 UTC
13975,6827 Glaze Dr.,,Calgary,1,T2P 2G8,9QdCxdhfZ02HBvd2qxQNhg==,2001-12-19 00:00:00.000000 UTC
21055,8892 Oak Grove Road,,Calgary,1,T2P 2G8,WJhivlfS1Ee/HiqV9FSNfA==,2002-06-27 00:00:00.000000 UTC
466,655-4th Ave S.W.,,Calgary,1,T2P 2G8,uvDFCShxVUSDLQ31hySKWg==,2001-08-01 00:00:00.000000 UTC
475,2512-410th Avenue S.W.,,Calgary,1,T2P 2G8,uZls7OJhAESBgCCPWmx+/w==,2003-09-01 00:00:00.000000 UTC
487,9259 - 1110th Avenue Sw,,Calgary,1,T2P 2G8,dslaJyMNl02fWLsYbRzAiQ==,2002-09-01 00:00:00.000000 UTC
504,Suite 99320 255 - 510th Avenue S.W.,,Calgary,1,T2P 2G8,f0P3zzBol0eHW9mlTqOJdQ==,2001-08-01 00:00:00.000000 UTC
15731,4900 La Salle St.,,Calgary,1,T2P 2G8,Lfd+50hWsUquTkXb/kRjyQ==,2003-08-15 00:00:00.000000 UTC
16208,1936 Balance Ct,,Calgary,1,T2P 2G8,35nMvyhS0Ema6XGedgBRrQ==,2002-07-07 00:00:00.000000 UTC
940,7725 Luddington Lane,,Birmingham,3,35203,zBTWDVjnt0GhVQp+TewVaQ==,2002-08-01 00:00:00.000000 UTC
18752,3235 Mi Casa Court,,Birmingham,3,35203,67ysA2dgAEOhWAVoBTebCQ==,2003-11-15 00:00:00.000000 UTC
932,656 Cox Creek Pkwy.,,Florence,3,35630,z3yrStWynkmQBlla0yWEcw==,2002-08-01 00:00:00.000000 UTC
951,Parkway City Mall,,Huntsville,3,35801,AVHAItoz7UKpSwfYmxDVIQ==,2002-07-01 00:00:00.000000 UTC
912,2525 Electrics Blvd.,,Huntsville,3,35801,z9EhuWKseEuXdJn/Z8WfkA==,2003-09-01 00:00:00.000000 UTC
944,574 Atlanta Highway,,Montgomery,3,36104,sAvqPKtBw0y6sQBMgzND2Q==,2003-07-01 00:00:00.000000 UTC
929,39950 Airport Blvd.,,Mobile,3,36602,iqpRZbpg70CCfBV1r+s4nA==,2001-09-01 00:00:00.000000 UTC
319,137 Lancelot Dr,,Phoenix,6,85004,2FStzrjWYUKMoZzDWZkD0Q==,2002-02-25 00:00:00.000000 UTC
28,9228 Via Del Sol,,Phoenix,6,85004,4V6uEj78i0abkjuXCxaXdA==,2001-09-01 00:00:00.000000 UTC
1068,7709 West Virginia Avenue,,Phoenix,6,85004,k0wYuN6oIUOzgRurxwiNYA==,2002-07-01 00:00:00.000000 UTC
1060,Arcadia Crossing,,Phoenix,6,85004,fCmRzHtWhkGWyCum8Idecw==,2002-07-01 00:00:00.000000 UTC
1066,Prime Outlets,,Phoenix,6,85004,kXZovX8pckuUZcjb0Pji7g==,2001-09-01 00:00:00.000000 UTC
1065,Factory Stores Of America,,Mesa,6,85201,o9OWGwbtL0ioE3E25aqlfQ==,2002-09-01 00:00:00.000000 UTC
1023,870 N. 54th Ave.,,Chandler,6,85225,7KPTJlE9PkmlQaDMgLVPNQ==,2003-07-01 00:00:00.000000 UTC
24772,7656 Ramsey Circle,,Chandler,6,85225,o3dqcG4ufU+oviHHmzHkGQ==,2003-05-23 00:00:00.000000 UTC
1095,9980 S Alma School Road,,Chandler,6,85225,jj+bsPKJKEWVeFPLz4BbSg==,2003-02-01 00:00:00.000000 UTC
26956,4584 Hamiliton Ave.,,Chandler,6,85225,Vd6Iul+rT0qyqsF4Bb3VsA==,2003-10-05 00:00:00.000000 UTC
1082,2551 East Warner Road,,Gilbert,6,85233,2vuK2Ju1bkm6bbOyNWV0/w==,2003-08-01 00:00:00.000000 UTC
345,6441 Co Road,,Lemon Grove,6,85252,IFlSzPpS3kiZXHGUrNTFrw==,2002-02-25 00:00:00.000000 UTC
1093,7750 E Marching Rd,,Scottsdale,6,85257,ikWB8aO1REm3sXPcrWfBTg==,2003-08-01 00:00:00.000000 UTC
1094,25250 N 90th St,,Scottsdale,6,85257,lk0CPtO3IkarmwckuRt4Mg==,2001-09-01 00:00:00.000000 UTC
349,3294 Buena Vista,,Lemon Grove,6,85284,vIheDexfG06sgfE9LKAbwA==,2002-03-06 00:00:00.000000 UTC
