CustomerID,TerritoryID,AccountNumber,CustomerType,rowguid,ModifiedDate
11634,1,AW00011634,I,RiZw/4bdTE++Je/HrvRMLw==,2004-10-13 11:15:07.000000 UTC
12084,1,AW00012084,I,UEWCEBTp50yG0qkS48aOFQ==,2004-10-13 11:15:07.000000 UTC
12143,1,AW00012143,I,ar3YL3XRfESAm0IW3f1RUQ==,2004-10-13 11:15:07.000000 UTC
12912,1,AW00012912,I,NQJ82w2t4Uyb5Zai7mRI7w==,2004-10-13 11:15:07.000000 UTC
13180,1,AW00013180,I,T0BqFZW/qECDR+/IdOvsNQ==,2004-10-13 11:15:07.000000 UTC
13393,1,AW00013393,I,61MmQcoHnE+aKAE/+hBZGg==,2004-10-13 11:15:07.000000 UTC
13396,1,AW00013396,I,9AWwJwynXE6B/dRi6fttRA==,2004-10-13 11:15:07.000000 UTC
13653,1,AW00013653,I,HMAUnK9AaUG6iDXlOoV2xA==,2004-10-13 11:15:07.000000 UTC
14411,1,AW00014411,I,Dh6LJywY2ECpqpcdFmrjyg==,2004-10-13 11:15:07.000000 UTC
14510,1,AW00014510,I,IMMsZRGSEk2DUeWT6UYhQw==,2004-10-13 11:15:07.000000 UTC
14599,1,AW00014599,I,/GGRF3iBZ0i0BARd0+V1QA==,2004-10-13 11:15:07.000000 UTC
15332,1,AW00015332,I,CJV+BeXr10uzQYgGhylJqg==,2004-10-13 11:15:07.000000 UTC
15573,1,AW00015573,I,EZjxpI/WiEun0IbrSMZFhw==,2004-10-13 11:15:07.000000 UTC
15825,1,AW00015825,I,2sfOLwHYak6NdYVn2SQ+ng==,2004-10-13 11:15:07.000000 UTC
16354,1,AW00016354,I,WzroHPpwdUmEKQIxZDjLfg==,2004-10-13 11:15:07.000000 UTC
16502,1,AW00016502,I,rz3+YqfJRkWxGicxcxIW+A==,2004-10-13 11:15:07.000000 UTC
16805,1,AW00016805,I,yKB8qNQ+TUO7qovyTklvcA==,2004-10-13 11:15:07.000000 UTC
16991,1,AW00016991,I,CM0efQIQ0EWJwNkvf5967Q==,2004-10-13 11:15:07.000000 UTC
17272,1,AW00017272,I,tGQ3VFyiHUWS0fjCHFZumw==,2004-10-13 11:15:07.000000 UTC
17359,1,AW00017359,I,OubTi8FTfk+OdJPYZWgvcg==,2004-10-13 11:15:07.000000 UTC
17368,1,AW00017368,I,y0OfP2+I+k2BCNA1JVA24w==,2004-10-13 11:15:07.000000 UTC
17401,1,AW00017401,I,PMTbTRsxBE6ZNZd/l35BNg==,2004-10-13 11:15:07.000000 UTC
18074,1,AW00018074,I,kGTrFrQ6H0G6ex1rlw6scg==,2004-10-13 11:15:07.000000 UTC
18121,1,AW00018121,I,DEUWYZoJyEelWzUaba19Aw==,2004-10-13 11:15:07.000000 UTC
18404,1,AW00018404,I,MUwjBa5YzE2DWgrwCmMQVQ==,2004-10-13 11:15:07.000000 UTC
18553,1,AW00018553,I,1AYTrv6NHkGJ7Yr1GirD+w==,2004-10-13 11:15:07.000000 UTC
18688,1,AW00018688,I,4l5ZNhIZlUCiZoXifIHdYQ==,2004-10-13 11:15:07.000000 UTC
18787,1,AW00018787,I,/AGZUpQqFEmcGAooA9tyhg==,2004-10-13 11:15:07.000000 UTC
19684,1,AW00019684,I,KrOTVt0P4Eu/Hz3sxfbr0Q==,2004-10-13 11:15:07.000000 UTC
19720,1,AW00019720,I,RRbLrlmLTUGDKnFBqMc9Gw==,2004-10-13 11:15:07.000000 UTC
19737,1,AW00019737,I,zYwl8+PHqU2juM759YF7vA==,2004-10-13 11:15:07.000000 UTC
19871,1,AW00019871,I,Q/y2ozNM8UaGWv0AnuM9Yw==,2004-10-13 11:15:07.000000 UTC
20026,1,AW00020026,I,1baGdxVUjkui6oCF0DjPUw==,2004-10-13 11:15:07.000000 UTC
